name,ref,longitude,latitude
Powerscourt House,0000010051,-6.175773697786451,53.18176837559396
Arklow Harbour,0000010060,-6.145231,52.792047
Ravenswell Road,0000010062,-6.104625421472393,53.208278895697454
Boleany,0000011001,-6.270794,52.64369
Scarawalsh,0000012001,-6.550222,52.548513
Enniscorthy,0000012002,-6.566852,52.502307
Tullow Town Bridge U/S,0000012005,-6.738373,52.802013
St. Johns Bridge,0000012007,-6.573359,52.493291
Rafter Bridge D/S,0000012008,-6.564173,52.500918
Rafter Bridge U/S,0000012009,-6.564198,52.501061
Ballynagee,0000012043,-6.482022288092075,52.32623091372265
Whitemill South,0000012044,-6.47390592360746,52.32845292906124
Edermine Bridge,0000012061,-6.562578,52.454094
Assaly,0000012063,-6.43554,52.279054
Ferrycarrig Bridge,0000012064,-6.511452,52.350837
Lady's Island,0000013070,-6.383141,52.211004
Sigginstown ,0000013072,-6.454423027896701,52.20186061013917
Cull Pump House,0000013081,-6.629581,52.204544
Carlow,0000014001,-6.938009,52.834224
Borness,0000014003,-7.308429,53.132249
Clonbulloge,0000014004,-7.086854,53.258656
Portarlington,0000014005,-7.192953,53.161813
Pass Bridge,0000014006,-7.070581,53.145923
Derrybrock,0000014007,-7.085032,53.039052
Cushina,0000014009,-7.174493,53.194321
Rathangan,0000014011,-6.992655,53.220616
Ballinacarrig,0000014013,-6.898154,52.824264
Royal Oak,0000014018,-6.981458,52.700198
Levitstown,0000014019,-6.949797,52.935378
Barrow New Bridge,0000014022,-6.931752,52.846138
Graiguenamanagh U/S,0000014029,-6.950884,52.540754
St. Mullins,0000014067,-6.92429,52.485473
Chapel Street,0000014120,-7.337003904112465,53.11949674645301
Manor Road,0000014121,-7.33881421577221,53.11567663610579
Turf Market,0000014122,-6.955819087801805,52.540405116802
Coolroe,0000014123,-6.991390543748398,52.54706857103485
Prusselstown,0000014125,-6.967,53.008073
Annamult,0000015001,-7.199625,52.548458
John's Bridge  Nore,0000015002,-7.250433,52.653392
Dinin Bridge,0000015003,-7.291781,52.715345
Mcmahons Bridge,0000015004,-7.379327,52.867024
Durrow Foot Bridge,0000015005,-7.397987,52.847064
Brownsbarn,0000015006,-7.0917,52.50077
Kilbricken,0000015007,-7.461606,52.959252
Borris-In-Ossory,0000015008,-7.644113,52.943091
Callan,0000015009,-7.388463,52.545101
Mount Juliet,0000015011,-7.189299,52.531251
Blackfriar's Bridge,0000015050,-7.258171741418274,52.65466458941183
Archers Grove,0000015105,-7.217501,52.641541
Ballylarkin,0000015107,-7.416694,52.735155
Athlummon,0000016001,-7.739544,52.686101
Beakstown,0000016002,-7.864804,52.648839
Rathkennan,0000016003,-7.924926,52.629303
Thurles,0000016004,-7.809622,52.679064
Aughnagross,0000016005,-8.014063,52.523496
Ballinaclogh,0000016006,-8.022296,52.519469
Killardry,0000016007,-7.975714,52.417276
New Bridge  Suir,0000016008,-7.99789,52.45947
Caher Park,0000016009,-7.922937,52.357673
Anner,0000016010,-7.628342787696874,52.3820331583352
Clonmel,0000016011,-7.694598,52.351525
Tar Bridge,0000016012,-7.842907,52.273004
Fourmilewater FFWS Main Logger,0000016013,-7.756046,52.273799
Clobanna,0000016051,-7.791764,52.715831
Carrick On Suir,0000016062,-7.410374,52.344104
Marlfield Reservoir,0000016073,-7.747762757013839,52.34921144457583
Piltown,0000016125,-7.324867,52.349317
Newcastle Bridge,0000016137,-7.810275,52.274915
Knocklofty,0000016139,-7.789266,52.336734
Sandy Banks,0000016146,-7.741975809372691,52.34310666266448
Joyce's Lane,0000016147,-7.70670698787223,52.351555156161865
Workhouse Bridge,0000016148,-7.716815859993853,52.349656727813745
Clonmel FFWS back-up,0000016149,-7.694477992731058,52.351521548661324
Caher Park FFWS back-up,0000016150,-7.922937,52.357673
Tar Bridge FFWS back-up,0000016151,-7.842907,52.273004
Fourmilewater FFWS back-up,0000016152,-7.757987337777354,52.27374497932691
New Bridge  Suir  FFWS back-up,0000016153,-7.99789,52.45947
Killardry FFWS back-up,0000016154,-7.975714,52.417276
Ardfinnan,0000016155,-7.879180269885036,52.30974910874175
Templemore,0000016156,-7.840438442885289,52.796249298656214
Gleann Beag,0000016157,-7.810928779307259,52.27141767443985
Borrisoleigh,0000016158,-7.970879631679142,52.757386571636985
Grove,0000016159,-7.67004,52.458772
Adelphi Quay,0000016160,-7.102433,52.259666
Dunmore East,0000017061,-6.990829,52.147523
Mogeely,0000018001,-8.064303,52.099557
Ballyduff,0000018002,-8.051952,52.144345
Killavullen,0000018003,-8.515394,52.149198
Downing Bridge,0000018005,-8.25896,52.168534
Fr Murphy's Bridge,0000018019,-8.889025,52.120741
Glenavuddig Bridge,0000018024,-8.405723,52.248571
Glandalane,0000018053,-8.220838,52.149811
Mallow Railway Bridge,0000018055,-8.656719,52.131124
Mallow Town Bridge U/S,0000018056,-8.641608,52.13234
Mallow Town Bridge D/S,0000018057,-8.641037,52.132218
Youghal Quay,0000018061,-7.847605305368107,51.95722612743287
Castletownroche Weir,0000018102,-8.46025,52.1737
Castlelands,0000018105,-8.622861,52.134705
Fermoy Bridge U/S,0000018106,-8.276634,52.138568
Fermoy Bridge D/S,0000018107,-8.275398,52.139551
Araglin Bridge,0000018108,-8.220864,52.166895
Lombardstown Bridge,0000018109,-8.783209,52.122615
Kilbrin Road,0000018110,-8.903999906745819,52.17920312171823
Church Street,0000018111,-8.910823,52.178766
Keale Bridge,0000018112,-9.028995,52.089622
Ahane Bridge,0000018113,-9.132805,52.096076
Clashmorgan,0000018114,-8.681001,52.082987
Jordans Bridge,0000018115,-8.625179,52.078048
Fermoy Mill,0000018117,-8.271953,52.13972
Ballydahin,0000018119,-8.654214411859428,52.131390087880526
Fermoy U/S Rowing,0000018124,-8.281061010950118,52.13838144174633
Ballea,0000019001,-8.421563,51.822081
Ballyedmond,0000019020,-8.206015,51.943339
Kilmona Bridge,0000019044,-8.588573,51.989534
Gothic Bridge,0000019045,-8.558214,51.928057
Ballyvourney,0000019054,-9.161190348140957,51.93947531776088
Ballymakera,0000019055,-9.146320181362364,51.93434980164056
Ballincolly,0000019056,-8.456144886586557,51.92232292180544
Glen Park,0000019057,-8.452116208637491,51.91290293756725
Blackpool Retail Park,0000019058,-8.473423677064158,51.91657918342427
Glennamought Br.,0000019059,-8.47734506663807,51.92925677880244
Ballycotton,0000019068,-8.001473,51.828183
Ringaskiddy NMCI,0000019069,-8.305565672508422,51.83496264100221
Inniscarra Headrace,0000019094,-8.66162355477134,51.90008170220352
Carrigadrohid Headrace,0000019095,-8.86411424211054,51.89697004686146
Macroom Town Bridge,0000019101,-8.962492304345641,51.90603936536615
Waterworks Weir,0000019102,-8.50994463499775,51.8939643459737
Ovens Bridge,0000019103,-8.655036049430251,51.88032308577955
Morris's Bridge,0000019104,-8.936169105082522,51.929307017238955
Muskerry,0000019105,-8.601826386997535,51.91471710820958
Cooldaniel,0000019106,-9.02229483653987,51.85766825148704
Dripsey Bridge,0000019107,-8.745962935021968,51.9159517281857
Bawnafinny Bridge,0000019108,-8.585341530399262,51.93002916268707
Inniscarra Tailrace,0000019109,-8.633395987101583,51.892008635555335
Cooleen Bridge,0000019110,-9.074104385860487,51.87103050436018
Killaclug,0000019111,-9.023169236672373,51.91160637695578
Coolmucky Bridge,0000019112,-8.783701615859195,51.86081750349451
County Hall,0000019113,-8.50952084597344,51.89261695917268
Carrigrohane Bridge,0000019114,-8.540977793298802,51.88977638977308
Killamucky,0000019115,-8.059769379519418,51.92922352290526
Dungourney Bridge,0000019116,-8.098407941482177,51.96784977527481
Midleton Town Park,0000019117,-8.165972786556152,51.913137882174944
Ballyedmond Backup,0000019118,-8.205934,51.943432
Lisgoold Bridge,0000019119,-8.216003,51.971683
Currach Club,0000019160,-8.443842193664969,51.901557638840366
St Patrick’s Quay (East),0000019161,-8.464014487833541,51.90022072334783
Fitzgerald's Park,0000019162,-8.498255568118013,51.89649679414221
Pope’s Quay,0000019163,-8.473466592403028,51.90102505152169
Mercy Hospital,0000019164,-8.483814554776922,51.90006846207348
Bailick Road U/S,0000019165,-8.17143376411284,51.90238211578984
Bailick Road D/S,0000019166,-8.170511084216693,51.8995885046753
Tivoli Docks,0000019167,-8.4001832777024,51.9029845067932
Bandon,0000020001,-8.731538,51.746954
Curranure,0000020002,-8.682672,51.765232
Long Bridge Dunmanway,0000020008,-9.097887,51.724699
Ardcahan Bridge,0000020015,-9.097987,51.749136
Bealaboy Bridge,0000020016,-9.075759,51.709436
Clonakilty,0000020019,-8.894235276719641,51.62263447028515
Skibbereen,0000020020,-9.264852362134766,51.55197315806896
Sneem D/S,0000021018,-9.89929135359275,51.84175089717266
Bridge Street,0000021020,-9.58579476398196,51.88108617030397
Killowen,0000021021,-9.577710586003898,51.884582437352655
Orchard Grove,0000021022,-9.587704496801301,51.884048355354935
Bantry Library,0000021023,-9.449238138627559,51.67844371134722
Kenmare Pier,0000021062,-9.588986592707261,51.87216366705485
Bantry,0000021063,-9.465149002498702,51.67883954377547
Riverville,0000022003,-9.570732,52.197621
Torc Weir,0000022005,-9.50622,52.000977
Flesk Bridge,0000022006,-9.497947,52.048034
White Bridge,0000022009,-9.527219,52.054921
Laune Bridge,0000022035,-9.617092,52.06155
Castlemaine,0000022061,-9.70277,52.167595
Tomies Pier,0000022071,-9.605025,52.056843
Inch Bridge  Galey,0000023001,-9.534399,52.468052
Listowel,0000023002,-9.475689,52.442655
Ballymullen,0000023012,-9.691575,52.260059
Sleveen Main Channel,0000023030,-9.636918,52.432616
Lisloose,0000023044,-9.699118094833576,52.288341188588845
Ballyseedy,0000023045,-9.641718821915894,52.25619034417562
Spring Water Lane,0000023046,-9.689855574210709,52.2546594717207
Oakpark Road,0000023047,-9.68136723557866,52.285828463102355
Abbeydorney D/S,0000023048,-9.688174682067162,52.347213338610885
Manor West,0000023049,-9.675723867820484,52.26335671355702
Riverside Close,0000023050,-9.688110309034636,52.34481819407515
Athea D/S,0000023051,-9.286857204888202,52.46136655816103
Athea U/S,0000023052,-9.286685543508309,52.46068383149008
Ferry Bridge  Feale ,0000023061,-9.633367,52.469001
Blennerville,0000023062,-9.735782,52.257899
Ballyard,0000023063,-9.711965,52.262768
Fenit,0000023066,-9.863564329519214,52.27070370239843
Moneycashen,0000023068,-9.680923,52.48275
Croom,0000024001,-8.718469,52.519224
Gray's Bridge,0000024002,-8.619798,52.512988
Bruree,0000024004,-8.660844,52.423225
Athlacca,0000024005,-8.651166,52.458766
Castleroberts,0000024008,-8.767416,52.543441
Adare Manor,0000024009,-8.777368,52.564413
Deel Bridge,0000024011,-9.031096906747143,52.442043631541175
Grange Bridge,0000024012,-9.018854,52.462813
Rathkeale,0000024013,-8.943546,52.52096
Riversfield Weir,0000024034,-8.540769,52.387574
Rossbrien Railway Bridge,0000024047,-8.632614,52.636086
Blackabbey,0000024053,-8.791817980330697,52.56773678470758
Ferry Bridge  Maigue ,0000024061,-8.764818,52.621226
Adare Quay,0000024062,-8.798123,52.568867
Limerick Dock,0000024063,-8.644473510330197,52.65849979387086
Foynes,0000024064,-9.10063679742932,52.61417271176771
Normoyle's Bridge,0000024067,-8.825606,52.559809
Gortboy Hotel,0000024100,-9.050871,52.448666
Annacotty,0000025001,-8.529147,52.669276
Barrington's Bridge,0000025002,-8.475033,52.644946
Abington,0000025003,-8.421221,52.631868
New Bridge  Bilboa ,0000025004,-8.314669,52.591644
Sunville,0000025005,-8.329348,52.581468
Ferbane,0000025006,-7.828063,53.269938
Moystown,0000025011,-7.932055,53.238253
Groody Bridge,0000025012,-8.583883,52.66476
Millbrook,0000025014,-7.79795,53.219546
Pollagh,0000025015,-7.715862,53.281349
Rahan  Clodiagh,0000025016,-7.615676,53.280799
Banagher,0000025017,-7.993647,53.193787
Killeen,0000025020,-8.303336,53.149715
Croghan,0000025021,-7.920462,53.101742
Syngefield,0000025022,-7.88158,53.092805
Milltown,0000025023,-7.897309,52.96926
New Bridge  Little Brosna,0000025024,-7.975743,53.131912
Ballyhooney,0000025025,-8.205766,53.01445
Gourdeen,0000025027,-8.168575,52.868412
Clarianna,0000025029,-8.20771,52.891623
Scarriff,0000025030,-8.533125,52.908365
Mullingar Pump Hse,0000025050,-7.334809,53.527883
Meelick Weir,0000025056,-8.076068,53.17608
Victoria Lock,0000025058,-8.080451,53.168772
Ball's Bridge,0000025061,-8.619052770500227,52.66642872053617
Culleen Fish Farm,0000025213,-7.351569,53.549125
Bracknagh Bridge,0000025301,-7.504752,53.180797
Waterpark Bridge,0000025308,-8.464589,52.695246
Clonsingle Bridge,0000025309,-8.431994,52.685081
Fairyhill,0000025340,-8.202574210770415,53.09404070671622
Portumna Bridge,0000025341,-8.19567020476155,53.09149576397214
Ballymackeogh,0000025342,-8.440595,52.707241
Ballinamore,0000026001,-8.366002,53.489786
Rookwood,0000026002,-8.292659,53.563717
Bookala,0000026004,-8.512284,53.705593
Derrycahill,0000026005,-8.262762,53.431764
Willsbrook,0000026006,-8.466028,53.729357
Bellagill,0000026007,-8.238554,53.361687
Johnston's Bridge,0000026008,-7.862746,53.82777
Bellantra Bridge,0000026009,-7.805409127647415,53.85407192771942
Riverstown,0000026010,-7.815074,53.931213
Banada Bridge  Lung,0000026014,-8.557031,53.897014
Corrascoffy,0000026015,-7.918866195106497,53.88663566381632
Mullagh,0000026019,-7.823850644180288,53.73294242650247
Argar,0000026020,-7.725933347221378,53.76385541976579
Ballymahon,0000026021,-7.757923,53.562867
Kilmore,0000026022,-7.872534,53.710257
Athlone,0000026027,-7.940756,53.421534
Shannonbridge,0000026028,-8.049581,53.279873
Blackrock Lock,0000026074,-8.050638,54.048462
Cuppanagh,0000026075,-8.406391483467072,53.958279343187314
Lough Rinn,0000026079,-7.855788771186496,53.89912492160989
Lough Derravaragh,0000026082,-7.30328,53.611316
Mount Nugent,0000026083,-7.283102,53.820952
Jamestown,0000026085,-8.030334,53.92306
Lomcloon,0000026087,-8.467149,53.924673
Hodson's Bay,0000026088,-7.986860232986334,53.4674253733161
Drumsna,0000026089,-8.008173,53.923144
Derry Bay  L. Ree ,0000026093,-7.849053,53.556108
Ballinalack,0000026104,-7.474758,53.63141
Boyle Abbey Bridge,0000026108,-8.296673,53.972839
Ahascragh Pump Hse,0000026140,-8.331003,53.392636
Summer Hill,0000026221,-7.985057788529787,53.41212883321584
Lysterfield,0000026243,-8.124354960936525,53.50926672191092
Carrick-On-Shannon,0000026324,-8.095558601188694,53.943210314852095
Athlone Weir U/S,0000026333,-7.941778,53.422891
Derryholmes  u/s,0000026351,-8.001045583566658,53.24801499989346
Derryholmes d/s,0000026352,-7.994703012140948,53.24391321151076
W.O.P.S Rail Bridge,0000026353,-8.039517360351374,53.2681363374647
Ballinasloe Town,0000026354,-8.214933829911992,53.32950076316511
Ballinasloe Old Channel,0000026355,-8.218675019369762,53.33048469295928
Raherbeg Rail Bridge,0000026356,-8.08629508558075,53.274019094858396
Deerpark Bridge,0000026357,-8.261250215174075,53.33888340722714
Bunowen Bridge,0000026358,-8.25338061391847,53.35045659697321
Jamestown Weir U/S,0000026359,-8.030446129475225,53.92892122693052
Scragh Bog,0000026374,-7.366132694016756,53.58536641441947
Jamestown Weir D/S,0000026401,-8.03052659575233,53.9289273439346
Ballinasloe Rail Station,0000026402,-8.23906621153085,53.336096147205105
Garrycastle,0000026404,-7.88581069057615,53.419834080598754
Rahara,0000026405,-8.130808355821202,53.52535751951747
Atteagh,0000026406,-8.065180736213085,53.45751212207899
Curraghboy,0000026407,-8.10826863632644,53.478080131329456
Kiltoom Stream,0000026408,-8.035383,53.494199
Carnagh East,0000026409,-8.019411,53.496442
Inch Bridge  Claureen ,0000027001,-9.036242,52.825291
Ballycorey,0000027002,-8.974654,52.870043
Corrofin  Fergus,0000027003,-9.061919,52.943762
Carnelly,0000027004,-8.936797,52.808478
Owenogarney Railway Bridge,0000027011,-8.771001,52.732704
Victoria Bridge,0000027023,-8.990842,52.848558
Knox's Bridge,0000027025,-8.972517,52.848179
Doora Bridge,0000027060,-8.967172,52.838778
Carrigaholt Pier ,0000027063,-9.698758678830908,52.600790238802645
Clarecastle Barrage U/S,0000027064,-8.962884279762157,52.817330182511576
Clarecastle Barrage D/S,0000027065,-8.962775822090155,52.81729207140418
Ennis Bridge,0000027066,-8.981789,52.846674
Clarecastle Bridge,0000027068,-8.961439440475221,52.81544887475372
Shannon Airport,0000027069,-8.917919354942425,52.67870487846389
Ennistimon,0000028001,-9.293865745400215,52.93886254388726
Doonbeg,0000028002,-9.521525,52.728373
Doonbeg Pier,0000028060,-9.536603050647866,52.74047927592503
Rathgorgin,0000029001,-8.679536,53.257849
Rahasane Turlough,0000029002,-8.807869,53.216947
Clarinbridge,0000029004,-8.874783,53.229342
Craughwell,0000029007,-8.736437752666086,53.227827819240915
Russaun,0000029009,-8.772402,53.053411
Aggard Bridge,0000029010,-8.743236,53.220817
Kilcolgan,0000029011,-8.871329,53.214109
Caherfinesker,0000029014,-8.790411,53.265585
Oranmore Bridge,0000029015,-8.929459,53.271762
Gortmackan,0000029020,-8.642418,53.183557
Ballycahalan,0000029021,-8.752354,53.099393
Kilcrimple,0000029022,-8.739264,53.045508
Killafeen,0000029023,-8.76927,53.023239
Poulataggle,0000029024,-8.890516,53.058588
Gort 1B,0000029025,-8.890456245001763,53.058571960802944
Cartronbower,0000030001,-9.312859,53.742967
Ower Bridge,0000030002,-9.160029,53.481485
Corrofin  Clare,0000030004,-8.863839,53.437557
Foxhill,0000030005,-9.15424,53.658173
Ballygaddy,0000030007,-8.874377,53.530827
Carrownagower,0000030017,-9.289989,53.573557
Cong Weir,0000030031,-9.28876,53.538599
Cregaree,0000030034,-9.289413,53.545681
Wolfe Tone Bridge,0000030061,-9.055651347221389,53.26998200840272
Caher Pier,0000030081,-9.299349,53.610987
Burriscara,0000030082,-9.249069,53.732912
Annaghdown Pier,0000030083,-9.076388,53.387032
Cong Pier,0000030084,-9.275412,53.530592
Angligham,0000030089,-9.066216,53.317909
Quincentennial Bridge,0000030096,-9.059845762735383,53.28267709966412
Galway Barrage D/S,0000030097,-9.056476908212893,53.27629246137095
Dangan,0000030098,-9.075881576541386,53.29594626430895
Galway Barrage,0000030099,-9.056272,53.277994
Oughterard,0000030101,-9.321144,53.431399
Terryland,0000030117,-9.041671114454273,53.285967587949955
Rossaveel Pier,0000031061,-9.562056,53.266925
Spiddal,0000031063,-9.309076624362504,53.24042045855582
Shannagurraun,0000031075,-9.308306,53.274345
Derrinkee,0000032013,-9.546362,53.674948
Owenmore Bridge,0000032014,-9.608129,53.697039
Aasleagh Bridge,0000032060,-9.671157,53.617749
Rahans  Moy,0000034001,-9.157683,54.103927
Ballylahan,0000034004,-9.102895,53.93794
Scarrownageeragh,0000034005,-9.060983,53.922684
Ballycarroon,0000034007,-9.344144,54.08614
Curraghbonaun,0000034009,-8.834877,54.013081
Cloonacannana,0000034010,-8.93050277909854,53.96741795465639
Gneeve Bridge,0000034011,-9.181784,53.863947
Banada  Moy,0000034013,-8.816832,54.036519
Mill Bridge  Clydagh,0000034014,-9.184442,53.909069
Turlough,0000034018,-9.208034,53.885545
Enniscrone Pier,0000034060,-9.098442750451353,54.22018934391951
Ballina,0000034061,-9.146781,54.117184
Pollagh,0000034071,-9.129626,53.965284
Pontoon,0000034081,-9.208076,53.977665
Gortnaraby,0000034082,-9.298326,54.093363
Corryosla,0000034083,-9.227889,53.985389
Keenagh Deel Bridge,0000034114,-9.514662580923343,54.08134624483771
Mullenmore Spring,0000034117,-9.309022980182526,54.09042738052906
Richmond Bridge,0000034118,-9.372725444281727,54.07780881773209
Crossmolina,0000034119,-9.31921537443994,54.100128367153715
Crossmolina Weir U/S,0000034120,-9.324923115222543,54.093316737928696
Crossmolina Weir D/S,0000034121,-9.32312067076497,54.09332932213922
Knockglass House,0000034122,-9.29975326583109,54.12470246978415
Chapel View,0000034123,-9.321135836097424,54.095990797037466
Crossmolina U/S,0000034124,-9.319344120472618,54.10003183953587
Knockanelo,0000034125,-9.161356645098158,54.12266846364414
Ballynacarrow,0000035001,-8.54906,54.14397
Billa Bridge,0000035002,-8.553356,54.179266
Ballygrania,0000035003,-8.468385,54.181719
Big Bridge,0000035004,-8.511156,54.059283
Ballysadare,0000035005,-8.509294,54.209196
Dromahair,0000035011,-8.299487,54.227059
New Bridge  Manorhamilton ,0000035028,-8.201256,54.319812
Four Masters Bridge,0000035029,-8.260686,54.459445
Lareen,0000035071,-8.240014,54.452301
Templehouse Demesne,0000035078,-8.582531,54.111641
Ballynary,0000035087,-8.309197,54.061022
Butlers Bridge,0000036010,-7.377088,54.041879
Sallaghan,0000036012,-7.503405,53.886691
Derreskit,0000036013,-7.558754,54.012758
Anlore,0000036015,-7.177331,54.177075
Ashfield,0000036018,-7.121146,54.072165
Belturbet,0000036019,-7.450869,54.097958
Killywillin,0000036020,-7.691128,54.080327
Kiltybardan,0000036021,-7.860888,54.057276
Aghacashlaun,0000036022,-7.926414,54.047317
Urney Bridge,0000036037,-7.405639,54.048915
Breffni Park,0000036042,-7.362087922817739,53.98202717577619
Killykeen Forest Park,0000036083,-7.470649,54.007865
Innisconnell Pier,0000036084,-7.458314,54.016974
Foalies Bridge,0000036171,-7.436735067459145,54.13889027098175
Clonconwal,0000038001,-8.365278,54.781706
Glenties,0000038010,-8.285969453452752,54.79339029935681
New Mills,0000039001,-7.817926,54.931113
Tullyarvan,0000039003,-7.452395,55.143612
Gartan Bridge,0000039008,-7.894476,55.000253
Aghawoney,0000039009,-7.720693,55.043786
Burnfoot Pumping Station,0000039018,-7.37554724764705,55.063766073496915
Port Bridge,0000039061,-7.714146,54.948447
Ballyloskey,0000040008,-7.26268525673378,55.24711530346442
Malin Head,0000040060,-7.334645,55.371618
Headford OPW,0000083001,-9.101336,53.470848
Listowel Bridge,0000093002,-9.47912,52.44182
Crossmolina Temp,0000094119,-9.322962,54.094078
Ovens Bridge RB,0000099103,-8.654966311990865,51.88039593845439
